,x,,,,,,,,,,,,,,,,,
1,plotID,,,,,linear.pval,linear.r2,,,,,,,,,,,
2,heart.avg,,,,TRILAU,,,,,,,,acacia dealbata,,tristaniopsis laurina,,casuarina cunninghamiana,
3,MDFAnnZer,,,,,,,,,,,,linear.pval,linear.r2,,,linear.pval,linear.r2
4,MDFAnnUnder0.1,,,,MDFAnnZer,0.015252291,0.999426112,,,,,MDFAnnZer,NA,0.000,0.015,1.00,0.176,0.51
5,MDFAnnHSNum,,,,MDFAnnUnder0.1,0.015616535,0.99939838,,,,,MDFAnnUnder0.1,NA,0.000,0.016,1.00,0.388,0.25
6,CVAnnHSNum,,,,,,,,,,,MDFAnnHSNum,0.1136,0.786,0.235,0.87,0.612,0.10
7,CVAnnHSPeak,,,,,,,,,,,CVAnnHSNum,0.0552,0.893,0.209,0.90,0.501,0.16
8,LSMeanDur,,,,ACADEA,,,,,,,CVAnnHSPeak,0.0977,0.814,0.445,0.59,0.531,0.14
9,MDFAnnLSNum,,,,,,,,,,,LSMeanDur,0.6558,0.118,0.443,0.59,0.796,0.03
10,CVAnnLSNum,,,,MDFAnnZer,0.015252291,0.999426112,,,,,MDFAnnLSNum,0.6022,0.158,0.287,0.81,0.914,0.00
11,CVAnnLSPeak,,,,MDFAnnUnder0.1,0.015616535,0.99939838,,,,,CVAnnLSNum,0.8189,0.033,0.639,0.29,0.715,0.05
12,CVAnnLSMeanDur,,,,,,,,,,,CVAnnLSPeak,0.5813,0.175,0.096,0.98,0.574,0.12
13,CVAnnMRateRise,,,,CASCUN,,,,,,,CVAnnLSMeanDur,0.4877,0.262,0.641,0.29,0.100,0.65
14,CVAnnMRateFall,,,,,,,,,,,CVAnnMRateRise,0.9059,0.009,0.458,0.57,0.117,0.61
15,BFI,,,,CVAnnBFI,0.003057575,0.962977741,,,,,CVAnnMRateFall,0.2323,0.589,0.260,0.84,0.221,0.44
16,CVAnnBFI,,,,M_MDFM,0.032662873,0.825722016,,,,,BFI,0.8153,0.034,0.365,0.71,0.115,0.62
17,C_MDFM,,,,MRateRisenorm,0.017208311,0.884791753,,,,,CVAnnBFI,0.5391,0.212,0.773,0.12,0.003,0.96
18,M_MDFM,,,,,,,,,,,C_MDFM,0.7133,0.082,0.382,0.68,0.330,0.31
19,C_MinM,,,,,,,,,,,M_MDFM,0.2622,0.544,0.550,0.42,0.033,0.83
20,M_MinM,,,,,,,,,,,C_MinM,0.7145,0.082,0.201,0.90,0.386,0.25
21,HSPeaknorm,,,,,,,,,,,M_MinM,0.2758,0.524,0.912,0.02,0.192,0.48
22,LSPeaknorm,,,,,,,,,,,HSPeaknorm,0.6768,0.104,0.431,0.61,0.449,0.20
23,MRateRisenorm,,,,,,,,,,,LSPeaknorm,0.8670,0.018,0.430,0.61,0.475,0.18
24,MRateFallnorm,,,,,,,,,,,MRateRisenorm,0.0001,0.9998,0.153,0.94,0.017,0.88
25,MA.7daysMinMeannorm,,,,,,,,,,,MRateFallnorm,0.0937,0.821,0.165,0.93,0.162,0.53
26,AS20YrARInorm,,,,,,,,,,,MA.7daysMinMeannorm,0.8691,0.017,0.337,0.75,0.548,0.13
,,,,,,,,,,,,AS20YrARInorm,0.2556,0.554,0.120,0.96,0.084,0.68
