long,lat
151.979,-32.244
149.714,-37.371
149.321,-37.174
149.694,-36.259
149.761,-36.197
149.709,-36.201
148.427,-36.727
147.826,-36.444
147.709,-36.756
147.413,-36.569
152.105,-29.695
152.217,-28.934
152.981,-29.467
148.731,-35.421
151.389,-33.246
