plotID,CWM
1,0.634479854
2,0.66140655
3,0.63227199
4,0.625710932
5,0.684506319
6,0.595815005
7,0.455903559
8,0.506059659
9,0.533712634
10,0.660179422
11,0.59655047
12,0.68864202
13,0.616631661
14,0.568583361
15,0.605859349
