"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value25","M_MinM",0.636236582836266,0.019245,0.89397578952951,0.020171,0.848315443781688,0.932844302117749
"value24","C_MinM",0.0295124023606629,0.33699,0.0787022522504211,0.3701,0.264972071908471,0.318078933509653
"value23","AS20YrARI",0.116732865155547,0.19233,0.273360648519488,0.21007,0.41071584459621,0.659741988898442
"value22","MA.7daysMinMean",0.0369770174138541,0.31444,0.0927730222736487,0.35098,0.264972071908471,0.318078933509653
"value21","M_MDFM",0.308236602892167,0.08622,0.606888816532304,0.086801,0.465626226990644,0.766596399830279
"value20","C_MDFM",0.0272910783719206,0.34468,0.0713409288738526,0.38125,0.264972071908471,0.318078933509653
"value19","CVAnnBFI",0.250948808793426,0.10815,0.274892495374351,0.20927,0.461026905220897,0.659741988898442
"value18","BFI",0.0648326973384975,0.25611,0.138388867742565,0.30203,0.311196947224788,0.415166603227696
"value17","CVAnnMRateFall",0.348476115818411,0.0735,0.0210669014038193,0.50432,0.491966281155403,0.198020112488129
"value16","CVAnnMRateRise",0.225331313443711,0.11984,0.0168116660878815,0.52424,0.461026905220897,0.198020112488129
"value15","MRateFall",0.268932361378856,0.1007,0.472973734456006,0.12727,0.461026905220897,0.680087856315013
"value14","MRateRise",0.310417484660429,0.085481,0.566153843100014,0.098265,0.465626226990644,0.754871790800019
"value13","CVAnnLSMeanDur",0.154018441723579,0.16173,0.312605424368324,0.19057,0.41071584459621,0.680087856315013
"value12","CVAnnLSPeak",0.230989739168494,0.11714,0.481728898223134,0.12436,0.461026905220897,0.680087856315013
"value11","CVAnnLSNum",0.259323669799497,0.10461,0.469126794675478,0.12857,0.461026905220897,0.680087856315013
"value10","MDFAnnLSNum",0.955135741490136,0.00027492,0.731430509942804,0.055278,0.955135741490136,0.877716611931364
"value9","LSPeak",0.0441620119847452,0.29632,0.0891877651229597,0.35561,0.264972071908471,0.318078933509653
"value8","LSMeanDur",0.798423874652564,0.0056501,0.944568249002803,0.010315,0.926879933346972,0.944568249002803
"value7","CVAnnHSPeak",0.135254096356181,0.17609,0.344587857205118,0.1761,0.41071584459621,0.680087856315013
"value6","CVAnnHSNum",0.871783122627392,0.0022603,0.787162883092251,0.04258,0.935067621882542,0.899614723534001
"value5","MDFAnnHSNum",0.811019941678601,0.0049546,0.882791038615626,0.022412,0.926879933346972,0.932844302117749
"value4","HSPeak",0.15372291301301,0.16194,0.0247525140610161,0.48958,0.41071584459621,0.198020112488129
"value3","MDFAnnUnder0.1",0.682189976567591,0.01446,0.409136734751151,0.14998,0.861713654611694,0.680087856315013
"value2","MDFAnnZer",0.896106470970769,0.0014802,0.426214175649078,0.14363,0.935067621882542,0.680087856315013
